Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply
110.724	09:12:22.134	43.462229950	1.272889989	0.378488	122
110.974	09:12:22.384	43.462229950	1.272889989	0.378488	122
111.224	09:12:22.634	43.462229950	1.272889989	0.378488	122
111.474	09:12:22.884	43.462229950	1.272889989	0.378488	122
111.724	09:12:23.134	43.462229950	1.272889989	0.382785	122
111.974	09:12:23.384	43.462229950	1.272889989	0.382785	122
112.224	09:12:23.634	43.462229950	1.272889989	0.382785	122
112.474	09:12:23.884	43.462229950	1.272889989	0.382785	122
112.724	09:12:24.134	43.462229950	1.272889989	0.382785	122
112.974	09:12:24.384	43.462229950	1.272889989	0.382785	122
113.224	09:12:24.634	43.462229950	1.272889989	0.382785	122
113.474	09:12:24.884	43.462229950	1.272889989	0.382785	122
113.724	09:12:25.134	43.462229950	1.272889989	0.382785	122
113.974	09:12:25.384	43.462229950	1.272889989	0.382785	122
114.224	09:12:25.634	43.462229950	1.272889989	0.382785	122
114.474	09:12:25.884	43.462229950	1.272889989	0.382785	122
114.724	09:12:26.134	43.462229950	1.272889989	0.387127	122
114.974	09:12:26.384	43.462229950	1.272889989	0.387127	122
115.224	09:12:26.634	43.462229950	1.272889989	0.387127	122
115.474	09:12:26.884	43.462229950	1.272889989	0.387127	122
115.724	09:12:27.134	43.462229950	1.272889989	0.387127	122
115.974	09:12:27.384	43.462229950	1.272889989	0.387127	122
116.224	09:12:27.634	43.462229950	1.272889989	0.387127	122
116.474	09:12:27.884	43.462229950	1.272889989	0.387127	122
116.724	09:12:28.134	43.462229950	1.272889989	0.387127	122
116.974	09:12:28.384	43.462229950	1.272889989	0.387127	122
117.224	09:12:28.634	43.462229950	1.272889989	0.387127	122
117.474	09:12:28.884	43.462229950	1.272889989	0.387127	122
117.724	09:12:29.134	43.462229950	1.272889989	0.391423	122
117.974	09:12:29.384	43.462229950	1.272889989	0.391423	122
118.224	09:12:29.634	43.462229950	1.272889989	0.391423	122
118.474	09:12:29.884	43.462229950	1.272889989	0.391423	122
118.724	09:12:30.134	43.462229950	1.272889989	0.391423	122
118.974	09:12:30.384	43.462229950	1.272889989	0.391423	122
119.224	09:12:30.634	43.462229950	1.272889989	0.391423	122
119.474	09:12:30.884	43.462229950	1.272889989	0.391423	122
119.724	09:12:31.134	43.462229950	1.272889989	0.391423	122
119.974	09:12:31.384	43.462229950	1.272889989	0.391423	122
120.224	09:12:31.634	43.462229950	1.272889989	0.391423	122
120.474	09:12:31.884	43.462229950	1.272889989	0.391423	122
120.724	09:12:32.134	43.462229950	1.272889989	0.395718	122
120.974	09:12:32.384	43.462229950	1.272889989	0.395718	122
121.224	09:12:32.634	43.462229950	1.272889989	0.395718	122
121.474	09:12:32.884	43.462229950	1.272889989	0.395718	122
121.724	09:12:33.134	43.462229950	1.272889989	0.395718	122
121.974	09:12:33.384	43.462229950	1.272889989	0.395718	122
122.224	09:12:33.634	43.462229950	1.272889989	0.395718	122
122.474	09:12:33.884	43.462229950	1.272889989	0.395718	122
122.724	09:12:34.134	43.462229950	1.272889989	0.395718	122
122.974	09:12:34.384	43.462229950	1.272889989	0.395718	122
123.224	09:12:34.634	43.462229950	1.272889989	0.395718	122
123.474	09:12:34.884	43.462229950	1.272889989	0.395718	122
123.724	09:12:35.134	43.462229950	1.272889989	0.401767	122
